File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results,
Vo/voila/voila_evaluation_examples/strong_spec/correct/ForkJoin-I.vl.vpr,0,807,125,15,638,847,938,true,success,QPs=13;SCcomps=0;methods=13;postBranches=8;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/ForkJoinClient-I.vl.vpr,0,2134,68,3,2037,2177,2188,true,success,QPs=57;SCcomps=0;methods=25;postBranches=18;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/IncDec-I.vl.vpr,0,2655,54,2,2578,2691,2696,true,success,QPs=21;SCcomps=0;methods=16;postBranches=10;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/SpinLock-I.vl.vpr,0,1254,73,5,1151,1297,1315,true,success,QPs=13;SCcomps=0;methods=14;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/TicketLock-ISpec.vl.vpr,0,13683,850,6,12533,13951,14565,true,success,QPs=50;SCcomps=0;methods=23;postBranches=13;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/correct/TicketLockClient-I.vl.vpr,0,1626,7,0,1616,1628,1635,true,success,QPs=24;SCcomps=0;methods=17;postBranches=9;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/BagStack/BagStack-I.1.vl.vpr,2,14294,1028,7,13521,13613,15748,true,989.18-invariant.not.established:insufficient.permission;997.18-invariant.not.established:insufficient.permission,QPs=44;SCcomps=98;methods=23;postBranches=14;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/BagStack/BagStack-I.2.vl.vpr,1,21600,1472,6,20410,20716,23675,true,450.15-invariant.not.preserved:assertion.false,QPs=52;SCcomps=88;methods=23;postBranches=14;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/BagStack/BagStack-I.3.vl.vpr,2,16119,735,4,15596,15602,17159,true,1339.9-call.precondition:insufficient.permission;874.7-call.precondition:insufficient.permission,QPs=48;SCcomps=138;methods=23;postBranches=14;proverWarnings=0
Vo/voila/voila_evaluation_examples/strong_spec/errors/BagStack/BagStack-I.4.vl.vpr,3,10905,375,3,10629,10650,11436,true,2169.7-fold.failed:insufficient.permission;2841.9-fold.failed:insufficient.permission;3424.10-assert.failed:assertion.false,QPs=48;SCcomps=110;methods=23;postBranches=14;proverWarnings=0
